# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2305081	2305728	+	XM_501889.3		XP_501889.1	uncharacterized protein		2909244	YALI1_C23050g	648	648	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2305081	2305728	+	XP_501889.1		XM_501889.3	uncharacterized protein		2909244	YALI1_C23050g	648	215	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2307511	2308164	+						2909245	YALI1_C23075g	654		partial;old_locus_tag=YALI2_B00169g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2307511	2308164	+	XM_501890.3		XP_501890.3	uncharacterized protein		2909245	YALI1_C23075g	654	654	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2307511	2308164	+	XP_501890.3		XM_501890.3	uncharacterized protein		2909245	YALI1_C23075g	654	217	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2308697	2309646	-						94583061	YALI1_C23089g	950		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2308697	2309646	-	XM_068282432.1		XP_068138533.1	uncharacterized protein		94583061	YALI1_C23089g	651	651	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2308697	2309646	-	XP_068138533.1		XM_068282432.1	uncharacterized protein		94583061	YALI1_C23089g	651	216	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2312018	2312251	+						94583062	YALI1_C23120g	234		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2312018	2312251	+	XM_068282433.1		XP_068138534.1	uncharacterized protein		94583062	YALI1_C23120g	234	234	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2312018	2312251	+	XP_068138534.1		XM_068282433.1	uncharacterized protein		94583062	YALI1_C23120g	234	77	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2315006	2315998	+						2909251	YALI1_C23150g	993		partial;old_locus_tag=YALI2_B00170g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2315006	2315998	+	XM_501892.3		XP_501892.3	uncharacterized protein		2909251	YALI1_C23150g	993	993	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2315006	2315998	+	XP_501892.3		XM_501892.3	uncharacterized protein		2909251	YALI1_C23150g	993	330	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2317561	2318847	+						2909253	YALI1_C23175g	1287		partial;old_locus_tag=YALI2_B00171g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2317561	2318847	+	XM_501894.3		XP_501894.3	uncharacterized protein		2909253	YALI1_C23175g	1287	1287	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2317561	2318847	+	XP_501894.3		XM_501894.3	uncharacterized protein		2909253	YALI1_C23175g	1287	428	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2319393	2320916	+						2909254	YALI1_C23193g	1524		partial;old_locus_tag=YALI2_B00172g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2319393	2320916	+	XM_501895.3		XP_501895.2	uncharacterized protein		2909254	YALI1_C23193g	1524	1524	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2319393	2320916	+	XP_501895.2		XM_501895.3	uncharacterized protein		2909254	YALI1_C23193g	1524	507	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2321261	2323117	-						2909255	YALI1_C23217g	1857		partial;old_locus_tag=YALI2_B00485g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2321261	2323117	-	XM_068282434.1		XP_068138535.1	uncharacterized protein		2909255	YALI1_C23217g	1800	1800	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2321261	2323117	-	XP_068138535.1		XM_068282434.1	uncharacterized protein		2909255	YALI1_C23217g	1800	599	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2325428	2326522	+						2909256	YALI1_C23254g	1095		partial;old_locus_tag=YALI2_B00173g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2325428	2326522	+	XM_501897.3		XP_501897.3	uncharacterized protein		2909256	YALI1_C23254g	1095	1095	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2325428	2326522	+	XP_501897.3		XM_501897.3	uncharacterized protein		2909256	YALI1_C23254g	1095	364	
gene	pseudogene	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2330162	2330254	+				Compare to YALI0C16269g, Misc non-coding, no similarity		94583063	YALI1_C23301g	93		pseudo
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2332169	2332840	-						90949508	YALI1_C23323g	672		partial;old_locus_tag=YALI2_B00484g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2332169	2332840	-	XM_068282435.1		XP_068138536.1	uncharacterized protein		90949508	YALI1_C23323g	432	432	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2332169	2332840	-	XP_068138536.1		XM_068282435.1	uncharacterized protein		90949508	YALI1_C23323g	432	143	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2335992	2341211	+						2909261	YALI1_C23359g	5220		partial;old_locus_tag=YALI2_B00174g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2335992	2341211	+	XM_501899.4		XP_501899.3	uncharacterized protein		2909261	YALI1_C23359g	5220	5220	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2335992	2341211	+	XP_501899.3		XM_501899.4	uncharacterized protein		2909261	YALI1_C23359g	5220	1739	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2341598	2342760	+						2909744	YALI1_C23415g	1163		partial;old_locus_tag=YALI2_B00175g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2341598	2342760	+	XM_501900.4		XP_501900.4	uncharacterized protein		2909744	YALI1_C23415g	963	963	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2341598	2342760	+	XP_501900.4		XM_501900.4	uncharacterized protein		2909744	YALI1_C23415g	963	320	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2342789	2343177	+						94583064	YALI1_C23427g	389		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2342789	2343177	+	XM_068282436.1		XP_068138537.1	uncharacterized protein		94583064	YALI1_C23427g	321	321	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2342789	2343177	+	XP_068138537.1		XM_068282436.1	uncharacterized protein		94583064	YALI1_C23427g	321	106	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2343558	2348370	-						2909745	YALI1_C23472g	4813		partial;old_locus_tag=YALI2_B00483g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2343558	2348370	-	XM_501901.3		XP_501901.3	uncharacterized protein		2909745	YALI1_C23472g	4575	4575	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2343558	2348370	-	XP_501901.3		XM_501901.3	uncharacterized protein		2909745	YALI1_C23472g	4575	1524	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2349417	2350454	-						2909746	YALI1_C23504g	1038		partial;old_locus_tag=YALI2_B00482g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2349417	2350454	-	XM_501902.3		XP_501902.3	uncharacterized protein		2909746	YALI1_C23504g	1038	1038	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2349417	2350454	-	XP_501902.3		XM_501902.3	uncharacterized protein		2909746	YALI1_C23504g	1038	345	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2351193	2352049	+						2909747	YALI1_C23511g	857		partial;old_locus_tag=YALI2_B00176g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2351193	2352049	+	XM_068282437.1		XP_068138538.1	uncharacterized protein		2909747	YALI1_C23511g	771	771	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2351193	2352049	+	XP_068138538.1		XM_068282437.1	uncharacterized protein		2909747	YALI1_C23511g	771	256	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2352609	2353759	+						2909748	YALI1_C23526g	1151		partial;old_locus_tag=YALI2_B00177g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2352609	2353759	+	XM_501904.4		XP_501904.2	uncharacterized protein		2909748	YALI1_C23526g	423	423	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2352609	2353759	+	XP_501904.2		XM_501904.4	uncharacterized protein		2909748	YALI1_C23526g	423	140	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2354414	2354854	-						2909749	YALI1_C23548g	441		partial;old_locus_tag=YALI2_B00481g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2354414	2354854	-	XM_501905.3		XP_501905.2	mitochondrial 54S ribosomal protein mL40		2909749	YALI1_C23548g	441	441	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2354414	2354854	-	XP_501905.2		XM_501905.3	mitochondrial 54S ribosomal protein mL40		2909749	YALI1_C23548g	441	146	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2355201	2356301	-						2909750	YALI1_C23563g	1101		partial;old_locus_tag=YALI2_B00480g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2355201	2356301	-	XM_501906.4		XP_501906.3	uncharacterized protein		2909750	YALI1_C23563g	1101	1101	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2355201	2356301	-	XP_501906.3		XM_501906.4	uncharacterized protein		2909750	YALI1_C23563g	1101	366	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2360139	2361875	+						2909751	YALI1_C23601g	1737		partial;old_locus_tag=YALI2_B00179g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2360139	2361875	+	XM_501907.3		XP_501907.1	uncharacterized protein		2909751	YALI1_C23601g	1737	1737	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2360139	2361875	+	XP_501907.1		XM_501907.3	uncharacterized protein		2909751	YALI1_C23601g	1737	578	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2364725	2365324	-						94583065	YALI1_C23653g	600		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2364725	2365324	-	XM_068282438.1		XP_068138539.1	uncharacterized protein		94583065	YALI1_C23653g	600	600	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2364725	2365324	-	XP_068138539.1		XM_068282438.1	uncharacterized protein		94583065	YALI1_C23653g	600	199	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2365694	2371541	-						2909753	YALI1_C23707g	5848		partial;old_locus_tag=YALI2_B00479g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2365694	2371541	-	XM_501909.4		XP_501909.2	DNA-directed RNA polymerase II subunit RPB1		2909753	YALI1_C23707g	5253	5253	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2365694	2371541	-	XP_501909.2		XM_501909.4	DNA-directed RNA polymerase II subunit RPB1		2909753	YALI1_C23707g	5253	1750	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2372233	2372488	-						94583066	YALI1_C23723g	256		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2372233	2372488	-	XM_068282439.1		XP_068138540.1	uncharacterized protein		94583066	YALI1_C23723g	210	210	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2372233	2372488	-	XP_068138540.1		XM_068282439.1	uncharacterized protein		94583066	YALI1_C23723g	210	69	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2373252	2374146	-						2909290	YALI1_C23738g	895		partial;old_locus_tag=YALI2_B00478g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2373252	2374146	-	XM_068282440.1		XP_068138541.1	uncharacterized protein		2909290	YALI1_C23738g	621	621	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2373252	2374146	-	XP_068138541.1		XM_068282440.1	uncharacterized protein		2909290	YALI1_C23738g	621	206	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2375576	2378833	+						2909291	YALI1_C23755g	3258		partial;old_locus_tag=YALI2_B00181g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2375576	2378833	+	XM_501912.3		XP_501912.3	uncharacterized protein		2909291	YALI1_C23755g	3258	3258	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2375576	2378833	+	XP_501912.3		XM_501912.3	uncharacterized protein		2909291	YALI1_C23755g	3258	1085	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2379117	2381855	-						2909292	YALI1_C23818g	2739		partial;old_locus_tag=YALI2_B00477g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2379117	2381855	-	XM_501913.3		XP_501913.3	uncharacterized protein		2909292	YALI1_C23818g	2739	2739	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2379117	2381855	-	XP_501913.3		XM_501913.3	uncharacterized protein		2909292	YALI1_C23818g	2739	912	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2382685	2383206	+						2909293	YALI1_C23826g	522		partial;old_locus_tag=YALI2_B00182g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2382685	2383206	+	XM_501914.3		XP_501914.1	uncharacterized protein		2909293	YALI1_C23826g	522	522	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2382685	2383206	+	XP_501914.1		XM_501914.3	uncharacterized protein		2909293	YALI1_C23826g	522	173	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2383377	2387518	-						2909294	YALI1_C23873g	4142		partial;old_locus_tag=YALI2_B00476g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2383377	2387518	-	XM_501915.4		XP_501915.4	uncharacterized protein		2909294	YALI1_C23873g	4095	4095	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2383377	2387518	-	XP_501915.4		XM_501915.4	uncharacterized protein		2909294	YALI1_C23873g	4095	1364	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2388130	2388423	+						2909295	YALI1_C23881g	294		partial;old_locus_tag=YALI2_B00183g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2388130	2388423	+	XM_501916.3		XP_501916.2	uncharacterized protein		2909295	YALI1_C23881g	294	294	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2388130	2388423	+	XP_501916.2		XM_501916.3	uncharacterized protein		2909295	YALI1_C23881g	294	97	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2388741	2390234	-						2909296	YALI1_C23902g	1494		partial;old_locus_tag=YALI2_B00475g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2388741	2390234	-	XM_501917.3		XP_501917.3	uncharacterized protein		2909296	YALI1_C23902g	1494	1494	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2388741	2390234	-	XP_501917.3		XM_501917.3	uncharacterized protein		2909296	YALI1_C23902g	1494	497	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2391510	2392613	-						2909297	YALI1_C23926g	1104		partial;old_locus_tag=YALI2_B00474g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2391510	2392613	-	XM_501918.3		XP_501918.1	uncharacterized protein		2909297	YALI1_C23926g	1104	1104	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2391510	2392613	-	XP_501918.1		XM_501918.3	uncharacterized protein		2909297	YALI1_C23926g	1104	367	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2393445	2394842	-						2909298	YALI1_C23948g	1398		partial;old_locus_tag=YALI2_B00473g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2393445	2394842	-	XM_501919.4		XP_501919.3	uncharacterized protein		2909298	YALI1_C23948g	1398	1398	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2393445	2394842	-	XP_501919.3		XM_501919.4	uncharacterized protein		2909298	YALI1_C23948g	1398	465	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2395040	2395492	+						94583067	YALI1_C23950g	453		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2395040	2395492	+	XM_068282441.1		XP_068138542.1	uncharacterized protein		94583067	YALI1_C23950g	453	453	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2395040	2395492	+	XP_068138542.1		XM_068282441.1	uncharacterized protein		94583067	YALI1_C23950g	453	150	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2398900	2399820	+						2909299	YALI1_C23989g	921		partial;old_locus_tag=YALI2_B00184g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2398900	2399820	+	XM_501920.3		XP_501920.1	uncharacterized protein		2909299	YALI1_C23989g	921	921	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2398900	2399820	+	XP_501920.1		XM_501920.3	uncharacterized protein		2909299	YALI1_C23989g	921	306	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2401640	2406067	+						2909300	YALI1_C24016g	4428		partial;old_locus_tag=YALI2_B00185g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2401640	2406067	+	XM_501921.3		XP_501921.3	uncharacterized protein		2909300	YALI1_C24016g	4428	4428	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2401640	2406067	+	XP_501921.3		XM_501921.3	uncharacterized protein		2909300	YALI1_C24016g	4428	1475	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2406419	2408158	-						2909301	YALI1_C24081g	1740		partial;old_locus_tag=YALI2_B00472g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2406419	2408158	-	XM_501922.3		XP_501922.3	uncharacterized protein		2909301	YALI1_C24081g	1740	1740	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2406419	2408158	-	XP_501922.3		XM_501922.3	uncharacterized protein		2909301	YALI1_C24081g	1740	579	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2412415	2413791	+						2909302	YALI1_C24124g	1377		partial;old_locus_tag=YALI2_B00186g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2412415	2413791	+	XM_066094094.2		XP_065950166.2	uncharacterized protein		2909302	YALI1_C24124g	1377	1377	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2412415	2413791	+	XP_065950166.2		XM_066094094.2	uncharacterized protein		2909302	YALI1_C24124g	1377	458	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2414951	2416582	-						2909303	YALI1_C24165g	1632		partial;old_locus_tag=YALI2_B00471g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2414951	2416582	-	XM_501924.3		XP_501924.1	uncharacterized protein		2909303	YALI1_C24165g	1632	1632	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2414951	2416582	-	XP_501924.1		XM_501924.3	uncharacterized protein		2909303	YALI1_C24165g	1632	543	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2418300	2418809	+						94583068	YALI1_C24183g	510		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2418300	2418809	+	XM_068282442.1		XP_068138543.1	uncharacterized protein		94583068	YALI1_C24183g	510	510	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2418300	2418809	+	XP_068138543.1		XM_068282442.1	uncharacterized protein		94583068	YALI1_C24183g	510	169	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2419620	2420079	-						94583069	YALI1_C24198g	460		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2419620	2420079	-	XM_068282443.1		XP_068138544.1	uncharacterized protein		94583069	YALI1_C24198g	354	354	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2419620	2420079	-	XP_068138544.1		XM_068282443.1	uncharacterized protein		94583069	YALI1_C24198g	354	117	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2420078	2421823	+						2909304	YALI1_C24200g	1746		partial;old_locus_tag=YALI2_B00187g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2420078	2421823	+	XM_501925.3		XP_501925.3	uncharacterized protein		2909304	YALI1_C24200g	1746	1746	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2420078	2421823	+	XP_501925.3		XM_501925.3	uncharacterized protein		2909304	YALI1_C24200g	1746	581	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2421884	2422509	-						94583070	YALI1_C24222g	626		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2421884	2422509	-	XM_068282444.1		XP_068138545.1	uncharacterized protein		94583070	YALI1_C24222g	417	417	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2421884	2422509	-	XP_068138545.1		XM_068282444.1	uncharacterized protein		94583070	YALI1_C24222g	417	138	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2422984	2423243	-						94583071	YALI1_C24231g	260		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2422984	2423243	-	XM_068282445.1		XP_068138546.1	uncharacterized protein		94583071	YALI1_C24231g	207	207	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2422984	2423243	-	XP_068138546.1		XM_068282445.1	uncharacterized protein		94583071	YALI1_C24231g	207	68	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2426290	2427885	+						2910078	YALI1_C24262g	1596		partial;old_locus_tag=YALI2_B00188g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2426290	2427885	+	XM_501926.3		XP_501926.1	uncharacterized protein		2910078	YALI1_C24262g	1596	1596	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2426290	2427885	+	XP_501926.1		XM_501926.3	uncharacterized protein		2910078	YALI1_C24262g	1596	531	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2429187	2430383	-						2910079	YALI1_C24303g	1197		partial;old_locus_tag=YALI2_B00470g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2429187	2430383	-	XM_501927.1		XP_501927.1	uncharacterized protein		2910079	YALI1_C24303g	1197	1197	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2429187	2430383	-	XP_501927.1		XM_501927.1	uncharacterized protein		2910079	YALI1_C24303g	1197	398	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2436735	2438405	+						2910080	YALI1_C24367g	1671		partial;old_locus_tag=YALI2_B00189g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2436735	2438405	+	XM_501928.3		XP_501928.1	uncharacterized protein		2910080	YALI1_C24367g	1671	1671	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2436735	2438405	+	XP_501928.1		XM_501928.3	uncharacterized protein		2910080	YALI1_C24367g	1671	556	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2440057	2440992	+						2910081	YALI1_C24400g	936		partial;old_locus_tag=YALI2_B00190g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2440057	2440992	+	XM_501929.1		XP_501929.1	uncharacterized protein		2910081	YALI1_C24400g	936	936	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2440057	2440992	+	XP_501929.1		XM_501929.1	uncharacterized protein		2910081	YALI1_C24400g	936	311	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2441671	2442347	-						2910082	YALI1_C24419g	677		partial;old_locus_tag=YALI2_B00469g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2441671	2442347	-	XM_068282446.1		XP_068138547.1	uncharacterized protein		2910082	YALI1_C24419g	618	618	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2441671	2442347	-	XP_068138547.1		XM_068282446.1	uncharacterized protein		2910082	YALI1_C24419g	618	205	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2443418	2445235	+						2910083	YALI1_C24434g	1818		partial;old_locus_tag=YALI2_B00191g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2443418	2445235	+	XM_501931.2		XP_501931.2	uncharacterized protein		2910083	YALI1_C24434g	1818	1818	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1C	NC_090772.1	2443418	2445235	+	XP_501931.2		XM_501931.2	uncharacterized protein		2910083	YALI1_C24434g	1818	605	
